"player","pos","ecr_1qb","ecr_2qb","ecr_high_1qb","ecr_high_2qb","ecr_low_1qb","ecr_low_2qb","scrape_date","pick"
"2021 Pick 1.01","PICK",30.245,25.2075,21.7,10.69,55.88,68.76,2021-01-22,1
"2021 Pick 1.02","PICK",38.33,36.5475,29.63,22.47,64.43,78.78,2021-01-22,2
"2021 Pick 1.03","PICK",46.1925,47.39,37.4,33.8,72.57,88.16,2021-01-22,3
"2021 Pick 1.04","PICK",53.8,57.715,44.98,44.66,80.26,96.88,2021-01-22,4
"2021 Pick 1.05","PICK",61.215,67.575,52.42,55.09,87.6,105.03,2021-01-22,5
"2021 Pick 1.06","PICK",68.4425,76.975,59.72,65.1,94.61,112.6,2021-01-22,6
"2021 Pick 1.07","PICK",75.4425,85.87,66.85,74.66,101.22,119.5,2021-01-22,7
"2021 Pick 1.08","PICK",82.23,94.295,73.82,83.81,107.46,125.75,2021-01-22,8
"2021 Pick 1.09","PICK",88.8875,102.33,80.69,92.58,113.48,131.58,2021-01-22,9
"2021 Pick 1.10","PICK",95.3075,109.9025,87.37,100.96,119.12,136.73,2021-01-22,10
"2021 Pick 1.11","PICK",101.465,117.0025,93.84,108.95,124.34,141.16,2021-01-22,11
"2021 Pick 1.12","PICK",107.5775,123.795,100.28,116.6,129.47,145.38,2021-01-22,12
"2021 Pick 2.01","PICK",113.265,130.045,106.33,123.78,134.07,148.84,2021-01-22,13
"2021 Pick 2.02","PICK",118.4925,135.7275,111.97,130.5,138.06,151.41,2021-01-22,14
"2021 Pick 2.03","PICK",123.9925,141.35,117.87,137.04,142.36,154.28,2021-01-22,15
"2021 Pick 2.04","PICK",129.6275,146.5825,123.85,143.13,146.96,156.94,2021-01-22,16
"2021 Pick 2.05","PICK",135.085,151.2825,129.64,148.73,151.42,158.94,2021-01-22,17
"2021 Pick 2.06","PICK",140.835,156.185,135.77,154.42,156.03,161.48,2021-01-22,18
"2021 Pick 2.07","PICK",147.0675,161.4625,142.34,160.3,161.25,164.95,2021-01-22,19
"2021 Pick 2.08","PICK",153.585,166.75,149.09,166.07,167.07,168.79,2021-01-22,20
"2021 Pick 2.09","PICK",160.23,172.015,155.97,171.75,173.01,172.81,2021-01-22,21
"2021 Pick 2.10","PICK",166.865,176.9625,162.95,176.84,178.61,177.33,2021-01-22,22
