"player","pos","team","age","draft_year","ecr_1qb","ecr_2qb","ecr_pos","value_1qb","value_2qb","scrape_date","fp_id"
"Justin Jefferson","WR","MIN",23.6,2020,1.6,5.3,1,10113,9270,"2023-01-06","19236"
"Ja'Marr Chase","WR","CIN",22.9,2021,2.9,7.5,2,9808,8803,"2023-01-06","19788"
"Jonathan Taylor","RB","IND",24,2020,5,11.2,1.8,9336,8070,"2023-01-06","19217"
"CeeDee Lamb","WR","DAL",23.7,2020,6.2,12.6,3.4,9076,7809,"2023-01-06","19202"
"A.J. Brown","WR","PHI",25.5,2019,7.2,14.8,4.1,8866,7416,"2023-01-06","18218"
"Breece Hall","RB","NYJ",21.6,2022,7.6,14.5,3.8,8783,7468,"2023-01-06","22982"
"Christian McCaffrey","RB","SF",26.6,2017,8.2,14.7,3,8660,7433,"2023-01-06","16393"
"Kenneth Walker III","RB","SEA",22.2,2022,9,16.6,4,8498,7108,"2023-01-06","23021"
"Jaylen Waddle","WR","MIA",24.1,2021,9.7,17.1,5.2,8360,7025,"2023-01-06","19790"
"Saquon Barkley","RB","NYG",25.9,2018,9.8,16.8,3.6,8340,7075,"2023-01-06","17240"
"Stefon Diggs","WR","BUF",29.1,2015,15.3,24,8,7329,5974,"2023-01-06","13981"
"Amon-Ra St. Brown","WR","DET",23.2,2021,16,24.6,8.4,7209,5890,"2023-01-06","19799"
"Kyle Pitts","TE","ATL",22.3,2021,16.4,24,1.5,7142,5974,"2023-01-06","20164"
"Tee Higgins","WR","CIN",23.9,2020,16.8,24.9,8.5,7075,5849,"2023-01-06","19211"
"Travis Etienne Jr.","RB","JAC",23.9,2021,17.2,25.6,6.4,7009,5753,"2023-01-06","19231"
"Tyreek Hill","WR","MIA",28.9,2016,17.5,26,8.4,6960,5699,"2023-01-06","15802"
"Garrett Wilson","WR","NYJ",22.5,2022,18.6,27.7,8.8,6782,5476,"2023-01-06","23072"
"Austin Ekeler","RB","LAC",27.6,2017,19.3,27.3,7,6671,5528,"2023-01-06","16483"
"Mark Andrews","TE","BAL",27.3,2018,21.5,30.8,2.2,6335,5092,"2023-01-06","17269"
"DK Metcalf","WR","SEA",25.1,2019,22.7,32.8,12.5,6159,4858,"2023-01-06","18219"
"Davante Adams","WR","LV",30,2014,24.3,33.6,10.8,5932,4767,"2023-01-06","12123"
"Josh Allen","QB","BUF",26.6,2018,25.6,1.4,1,5753,10160,"2023-01-06","17298"
"Travis Kelce","TE","KC",33.3,2013,26,35.8,2.5,5699,4527,"2023-01-06","11594"
"Chris Olave","WR","NO",22.5,2022,26.8,36.5,13.4,5593,4453,"2023-01-06","20111"
"D'Andre Swift","RB","DET",24,2020,26.9,36.1,10,5580,4495,"2023-01-06","19210"
"Drake London","WR","ATL",21.5,2022,27.9,37.9,14.2,5451,4309,"2023-01-06","23163"
"Cooper Kupp","WR","LAR",29.6,2017,28,37.1,13.4,5438,4391,"2023-01-06","16433"
