mergename,pos,team,age,min_dynoECR,min_dyno2QBECR,max_dynoECR,max_dyno2QBECR,dynoECR,dyno2QBECR
Saquon Barkley,RB,NYG,22.2,1.4,2,1,1.4,1.1,1.7
DeAndre Hopkins,WR,HOU,26.8,4.5,5.9,1.9,3.3,3.2,4.6
Ezekiel Elliott,RB,DAL,23.7,4.9,6.7,2.7,4.5,3.8,5.6
Christian McCaffrey,RB,CAR,22.8,6.9,9.2,3.5,5.8,5.2,7.5
Alvin Kamara,RB,NOS,22.8,6.7,9.2,4.7,7.2,5.7,8.2
Odell Beckham,WR,CLE,26.4,8.2,10.6,3.2,5.6,5.7,8.1
Todd Gurley,RB,LAR,24.7,10.3,13.2,3.3,6.2,6.8,9.7
Michael Thomas,WR,NOS,26.1,9.1,12.3,7.1,10.3,8.1,11.3
Davante Adams,WR,GBP,26.3,11.9,15.5,6.1,9.7,9,12.6
2019 Pick 1,PICK,,,16,21.7,4.2,5.4,10.1,13.5
Joe Mixon,RB,CIN,22.7,12.6,17.1,9.6,14.1,11.1,15.6
Mike Evans,WR,TBB,25.6,15.4,20.4,11.2,16.2,13.3,18.3
Melvin Gordon,RB,LAC,26,16,21.3,10.6,15.9,13.3,18.6
JuJu Smith-Schuster,WR,PIT,22.4,17,22,9.6,14.6,13.3,18.3
Dalvin Cook,RB,MIN,23.7,21.2,27.6,12,18.4,16.6,23
Nick Chubb,RB,CLE,23.3,22.6,29.6,14.4,21.4,18.5,25.5
David Johnson,RB,ARI,27.3,21.5,28.7,16.5,23.7,19,26.2
Amari Cooper,WR,DAL,24.8,25.3,32.3,13.3,20.3,19.3,26.3
Stefon Diggs,WR,MIN,25.3,22.5,29.6,16.9,24,19.7,26.8
Keenan Allen,WR,LAC,26.9,27.8,36,18.4,26.6,23.1,31.3
Travis Kelce,TE,KCC,29.5,25.5,34.8,21.1,30.4,23.3,32.6
LeVeon Bell,RB,NYJ,27.1,28.3,37,19.3,28,23.8,32.5
James Conner,RB,PIT,23.9,27.3,36.2,21.3,30.2,24.3,33.2
George Kittle,TE,SFO,25.5,31.6,42.6,26,37,28.8,39.8
Kenny Golladay,WR,DET,25.4,36.4,46.8,23.8,34.2,30.1,40.5
Sony Michel,RB,NEP,24.1,33.8,44.6,27.4,38.2,30.6,41.4
Brandin Cooks,WR,LAR,25.5,36.2,47,27,37.8,31.6,42.4
Patrick Mahomes,QB,KCC,23.5,38.6,11.4,25,1,31.8,4.6
Zach Ertz,TE,PHI,28.4,40.2,52.8,27.4,40,33.8,46.4
Aaron Jones,RB,GBP,24.3,37.3,49.3,31.3,43.3,34.3,46.3
Kerryon Johnson,RB,DET,21.8,43.4,55.4,25.8,37.8,34.6,46.6
Derrius Guice,RB,WAS,21.8,40,52.4,31.6,44,35.8,48.2
Corey Davis,WR,TEN,24.2,43.2,56.4,35.8,49,39.5,52.7
Leonard Fournette,RB,JAC,24.2,49.4,62.9,29.8,43.3,39.6,53.1
Robert Woods,WR,LAR,27,48.2,62,35,48.8,41.6,55.4
DJ Moore,WR,CAR,22,49.6,64,37.8,52.2,43.7,58.1
Cooper Kupp,WR,LAR,25.8,54.9,70.3,39.3,54.7,47.1,62.5
Allen Robinson,WR,CHI,25.6,59.7,75.7,39.1,55.1,49.4,65.4
Marlon Mack,RB,IND,23.1,57.9,74.2,41.1,57.4,49.5,65.8
Deshaun Watson,QB,HOU,23.6,58.5,18.3,42.1,1.9,50.3,10.1
Baker Mayfield,QB,CLE,24,60.4,19.8,41.4,1,50.9,10.3
Calvin Ridley,WR,ATL,24.3,59.2,75.7,42.8,59.3,51,67.5
Derrick Henry,RB,TEN,24.7,64.2,81.5,41.6,58.9,52.9,70.2
2019 Pick 2,PICK,,,95.5,102.6,11.4,11.9,53.5,57.3
Chris Godwin,WR,TBB,23.1,66.1,83.5,42.3,59.7,54.2,71.6
Rashaad Penny,RB,SEA,23.2,62.5,80.9,51.1,69.5,56.8,75.2
2019 Pick 3,PICK,,,86.6,110.4,28.4,19.3,57.5,64.9
Kareem Hunt,RB,CLE,23.7,75.6,94.2,39.8,58.4,57.7,76.3
Jarvis Landry,WR,CLE,26.4,70.5,89.2,47.7,66.4,59.1,77.8
Devonta Freeman,RB,ATL,27.1,71.8,91.1,48.8,68.1,60.3,79.6
2019 Pick 7,PICK,,,62.2,80.7,59.3,57.4,60.7,69
Tevin Coleman,RB,SFO,26,70,89.6,52.6,72.2,61.3,80.9
OJ Howard,TE,TBB,24.4,67.9,88.2,54.9,75.2,61.4,81.7
2019 Pick 5,PICK,,,87.6,113.1,35.3,33.4,61.5,73.3
Tarik Cohen,RB,CHI,23.7,69.9,89.8,54.7,74.6,62.3,82.2
Mike Williams,WR,LAC,24.5,74.7,94.3,49.9,69.5,62.3,81.9
Courtland Sutton,WR,DEN,23.5,82.6,103,48,68.4,65.3,85.7
Will Fuller,WR,HOU,25,79.1,100.1,55.7,76.7,67.4,88.4
2019 Pick 6,PICK,,,85.6,110.6,50.4,44.8,68,77.7
Carson Wentz,QB,PHI,26.3,80,28.2,58.2,6.4,69.1,17.3
Evan Engram,TE,NYG,24.6,75.6,98,63.2,85.6,69.4,91.8
David Njoku,TE,CLE,22.7,80.3,102.9,60.3,82.9,70.3,92.9
Hunter Henry,TE,LAC,24.3,82.1,105.3,62.5,85.7,72.3,95.5
Royce Freeman,RB,DEN,23.1,81.9,104.5,63.3,85.9,72.6,95.2
2019 Pick 11,PICK,,,62,81.8,85.8,95.7,73.9,88.8
Tyler Boyd,WR,CIN,24.4,85.4,108.3,63.4,86.3,74.4,97.3
Sammy Watkins,WR,KCC,25.8,95,118.2,56.6,79.8,75.8,99
Christian Kirk,WR,ARI,22.4,88.8,112.1,63.4,86.7,76.1,99.4
Jared Goff,QB,LAR,24.5,90.4,34.1,64.2,7.9,77.3,21
Kenyan Drake,RB,MIA,25.2,98.2,122.9,63,87.7,80.6,105.3
Eric Ebron,TE,IND,26,88.6,114,74,99.4,81.3,106.7
Tyler Lockett,WR,SEA,26.5,100.5,125.6,65.5,90.6,83,108.1
