"player","pos","team","age","draft_year","ecr_1qb","ecr_2qb","ecr_pos","value_1qb","value_2qb","scrape_date","fp_id"
"Ja'Marr Chase","WR","CIN",25.8,2021,1.1,5.9,1,10232,9141,"2026-01-02","19788"
"Jaxon Smith-Njigba","WR","SEA",23.9,2023,3.6,8.8,2.8,9648,8538,"2026-01-02","23070"
"Bijan Robinson","RB","ATL",23.9,2023,4,9.8,1.5,9558,8340,"2026-01-02","23133"
"Jahmyr Gibbs","RB","DET",23.8,2023,5.7,13.8,1.5,9184,7592,"2026-01-02","22968"
"Justin Jefferson","WR","MIN",26.5,2020,5.9,11.6,4.8,9141,7995,"2026-01-02","19236"
"CeeDee Lamb","WR","DAL",26.7,2020,6.1,12.4,6,9098,7846,"2026-01-02","19202"
"Puka Nacua","WR","LAR",24.6,2023,6.2,13.1,2.7,9076,7718,"2026-01-02","23180"
"Amon-Ra St. Brown","WR","DET",26.2,2021,7.9,15.1,6.3,8721,7363,"2026-01-02","19799"
"Malik Nabers","WR","NYG",22.4,2024,11.6,21.1,7,7995,6395,"2026-01-02","25409"
"Ashton Jeanty","RB","LV",22.1,2025,11.8,22.4,4,7957,6203,"2026-01-02","25989"
"Rashee Rice","WR","KC",25.7,2023,14,25.2,10,7556,5808,"2026-01-02","23113"
"Drake London","WR","ATL",24.4,2022,14.6,22.9,7.3,7450,6130,"2026-01-02","23163"
"Tetairoa McMillan","WR","CAR",22.7,2025,18.2,29.8,11.8,6846,5213,"2026-01-02","25417"
"Nico Collins","WR","HOU",26.8,2021,19.4,31.7,9.7,6656,4985,"2026-01-02","20130"
"Garrett Wilson","WR","NYJ",25.4,2022,19.4,32.4,15,6656,4904,"2026-01-02","23072"
"Breece Hall","RB","NYJ",24.6,2022,20.4,32.5,10.2,6501,4892,"2026-01-02","22982"
"2026 Pick 1.01","PICK",NA,NA,NA,20.46375,10.99375,NA,6491,8109,"2026-01-02",NA
"Jonathan Taylor","RB","IND",27,2020,20.8,34.7,5.3,6440,4646,"2026-01-02","19217"
"James Cook III","RB","BUF",26.3,2022,21,33.6,6,6410,4767,"2026-01-02","22958"
"Omarion Hampton","RB","LAC",22.8,2025,21.2,35.4,6.8,6380,4570,"2026-01-02","25395"
"Josh Allen","QB","BUF",29.6,2018,21.6,1.5,1.5,6320,10136,"2026-01-02","17298"
"De'Von Achane","RB","MIA",24.2,2023,22,33.4,3.8,6261,4790,"2026-01-02","23136"
"Chris Olave","WR","NO",25.5,2022,22.1,35.7,13.7,6247,4538,"2026-01-02","20111"
"Brock Bowers","TE","LV",23.1,2024,22.9,32.8,1.4,6130,4858,"2026-01-02","22955"
"Trey McBride","TE","ARI",26.1,2022,24.8,36,1.6,5862,4506,"2026-01-02","22936"
"2026 Pick 1.02","PICK",NA,NA,NA,25.4975,14.865,NA,5767,7404,"2026-01-02",NA
