pos,interpolated ranks,Interpolated Average
QB,1,23.8
QB,1.1,23.59
QB,1.2,23.39
QB,1.3,23.18
QB,1.4,22.98
QB,1.5,22.77
QB,1.6,22.56
QB,1.7,22.36
QB,1.8,22.15
QB,1.9,21.95
QB,2,21.74
QB,2.1,21.64
QB,2.2,21.54
QB,2.3,21.43
QB,2.4,21.33
QB,2.5,21.23
QB,2.6,21.13
QB,2.7,21.03
QB,2.8,20.92
QB,2.9,20.82
QB,3,20.72
QB,3.1,20.63
QB,3.2,20.54
QB,3.3,20.44
QB,3.4,20.35
QB,3.5,20.26
QB,3.6,20.17
QB,3.7,20.08
QB,3.8,19.98
QB,3.9,19.89
QB,4,19.8
QB,4.1,19.75
QB,4.2,19.69
QB,4.3,19.64
QB,4.4,19.58
QB,4.5,19.53
QB,4.6,19.48
QB,4.7,19.42
QB,4.8,19.37
QB,4.9,19.31
QB,5,19.26
QB,5.1,19.21
QB,5.2,19.16
QB,5.3,19.1
QB,5.4,19.05
QB,5.5,19
QB,5.6,18.95
QB,5.7,18.9
QB,5.8,18.84
QB,5.9,18.79
QB,6,18.74
QB,6.1,18.7
QB,6.2,18.65
QB,6.3,18.61
QB,6.4,18.56
QB,6.5,18.52
QB,6.6,18.48
QB,6.7,18.43
QB,6.8,18.39
QB,6.9,18.34
QB,7,18.3
QB,7.1,18.27
QB,7.2,18.24
QB,7.3,18.2
QB,7.4,18.17
QB,7.5,18.14
QB,7.6,18.11
QB,7.7,18.08
QB,7.8,18.04
QB,7.9,18.01
QB,8,17.98
QB,8.1,17.95
QB,8.2,17.93
QB,8.3,17.9
QB,8.4,17.88
QB,8.5,17.85
QB,8.6,17.82
QB,8.7,17.8
QB,8.8,17.77
QB,8.9,17.75
QB,9,17.72
QB,9.1,17.7
QB,9.2,17.68
QB,9.3,17.67
QB,9.4,17.65
QB,9.5,17.63
QB,9.6,17.61
QB,9.7,17.59
QB,9.8,17.58
QB,9.9,17.56
QB,10,17.54
